%  hypsometry data
%  created by Bryce Glenn, Julian Cross, and Maciek Obryk
%  orthometric heights
%  based on local datum (WGS84 -56.3 m)
%  Depth h (m)    Area A Min RIS (m^2)	Area A No RIS (m^2)
81.952	5988332
82.052	5998000
82.152	6008300
82.252	6018360
82.352	6028616
82.452	6038928
82.552	6049452
82.652	6060008
82.752	6070596
82.852	6080412
82.952	6090608
83.052	6100672
83.152	6110512
83.252	6119852
83.352	6129396
83.452	6139156
83.552	6148040
83.652	6157144
83.752	6166116
83.852	6175128
83.952	6184212
84.052	6193520
84.152	6202348
84.252	6211236
84.352	6220284
84.452	6229376
84.552	6238404
84.652	6247424
84.752	6256588
84.852	6266016
84.952	6275456
85.052	6285220
85.152	6295344
85.252	6306100
85.352	6316784
85.452	6327336
85.552	6338252
85.652	6348744
85.752	6359124
85.852	6369164
85.952	6378940
86.052	6388920
86.152	6398452
86.252	6408180
86.352	6417916
86.452	6428016
86.552	6437508
86.652	6446904
86.752	6456552
86.852	6465984
86.952	6475308
87.052	6484516
87.152	6493748
87.252	6503172
87.352	6512736
87.452	6522128
87.552	6531420
87.652	6540968
87.752	6550600
87.852	6559952
87.952	6569444
88.052	6579132
88.152	6588928
88.252	6598260
88.352	6608116
88.452	6618052
88.552	6627956
88.652	6637628
88.752	6647160
88.852	6656692
88.952	6666308
89.051	6676044
89.151	6685612
89.251	6694984
89.351	6704636
89.451	6714604
89.551	6724588
89.651	6734060
89.751	6744240
89.851	6754552
89.951	6764836
90.051	6775300
90.151	6785848
90.251	6796348
90.351	6807088
90.451	6817944
90.551	6828624
90.651	6839004
90.751	6849336
90.851	6859804
90.951	6870228
91.051	6880672
91.151	6891432
91.251	6902544
91.351	6913340
91.451	6923568
91.551	6934204
91.651	6944928
91.751	6955700
91.851	6966528
91.951	6977060
92.051	6987324
92.151	6997672
92.251	7008956
92.351	7020260
92.451	7032164
92.551	7044124
92.651	7055432
92.751	7067188
92.851	7078944
92.951	7090412
93.051	7101812
93.151	7113364
93.251	7125308
93.351	7136808
93.451	7148480
93.551	7159884
93.651	7171572
93.751	7183764
93.851	7195624
93.951	7208148
94.051	7220256
94.151	7232788
94.251	7244972
94.351	7257288
94.451	7269228
94.551	7281308
94.651	7293356
94.751	7305212
94.851	7316892
94.951	7328728
95.051	7340840
95.151	7352948
95.251	7365016
95.351	7377664
95.451	7390428
95.551	7402872
95.651	7415728
95.751	7427820
95.851	7440200
95.951	7452544
96.051	7464896
96.151	7477108
96.251	7488808
96.351	7500980
96.451	7512852
96.551	7525096
96.651	7536560
96.751	7547960
96.851	7560140
96.951	7572636
97.051	7584476
97.151	7595848
97.251	7607880
97.351	7619764
97.451	7632696
97.551	7647568
97.651	7666156
97.751	7689592
97.851	7718492
97.951	7751240
98.051	7785704
98.151	7819212
98.251	7850836
98.351	7880812
98.451	7907548
98.551	7929920
98.651	7949912
98.751	7967828
98.851	7985296
98.951	8002100
99.051	8018016
99.151	8032908
99.251	8047572
99.351	8062004
99.451	8076748
99.551	8090792
99.651	8104076
99.751	8116508
99.851	8128484
99.951	8140864
100.051	8155628
100.151	8173588
100.251	8189036
100.351	8203464
100.451	8217804
100.551	8232124
100.651	8246440
100.751	8260552
100.851	8274448
100.951	8288688
101.051	8302896
101.151	8317180
101.251	8331332
101.351	8345364
101.451	8359364
101.551	8373204
101.651	8387096
101.751	8401252
101.851	8415476
101.951	8429468
102.051	8443812
102.151	8458072
102.251	8472188
102.351	8486612
102.451	8501756
102.551	8516696
102.651	8531544
102.751	8546512
102.851	8561896
102.951	8576644
103.051	8591532
103.151	8606680
103.251	8621976
103.351	8637384
103.451	8652368
103.551	8667480
103.651	8682928
103.750	8698224
103.850	8713432
103.950	8729108
104.050	8743908
104.150	8759140
104.250	8774200
104.350	8789320
104.450	8804416
104.550	8819768
104.650	8835108
104.750	8851076
104.850	8867240
104.950	8883216
105.050	8899872
105.150	8915960
105.250	8932104
105.350	8947336
105.450	8963768
105.550	8979948
105.650	8996072
105.750	9012712
105.850	9029484
105.950	9046316
106.050	9063180
106.150	9080000
106.250	9096120
106.350	9113000
106.450	9129100
106.550	9144836
106.650	9161076
106.750	9177672
106.850	9193728
106.950	9209744
107.050	9226344
107.150	9243000
107.250	9259264
107.350	9275576
107.450	9292128
107.550	9307904
107.650	9323864
107.750	9339920
107.850	9356092
107.950	9372312
108.050	9388608
108.150	9404072
108.250	9420068
108.350	9435716
108.450	9451456
108.550	9467048
108.650	9482760
108.750	9498452
108.850	9514028
108.950	9529520
109.050	9544716
109.150	9559952
109.250	9575120
109.350	9590076
109.450	9611264
109.550	9647064
109.650	9675928
109.750	9696720
109.850	9714792
109.950	9732284
110.050	9749688
110.150	9767044
110.250	9784188
110.350	9800384
110.450	9816780
110.550	9833060
110.650	9850004
110.750	9866252
110.850	9882416
110.950	9898684
111.050	9915156
111.150	9931020
111.250	9947240
111.350	9963944
111.450	9980632
111.550	9996844
111.650	10013496
111.750	10029996
111.850	10046504
111.950	10063272
112.050	10079464
112.150	10095532
112.250	10112088
112.350	10128220
112.450	10144292
112.550	10159968
112.650	10175976
112.750	10191384
112.850	10207588
112.950	10223668
113.050	10239124
113.150	10254704
113.250	10270844
113.350	10286712
113.450	10302992
113.550	10319036
113.650	10334976
113.750	10350548
113.850	10365988
113.950	10381672
114.050	10397656
114.150	10412984
114.250	10429060
114.350	10444828
114.450	10460688
114.550	10476372
114.650	10491632
114.750	10507476
114.850	10522932
114.950	10538976
115.050	10554660
115.150	10570624
115.250	10586608
115.350	10602644
115.450	10618292
115.550	10634236
115.650	10650052
115.750	10665632
115.850	10681592
115.950	10698328
116.050	10714860
116.150	10731072
116.250	10747692
116.350	10764344
116.450	10780068
116.550	10796496
116.650	10812400
116.750	10828596
116.850	10845124
116.950	10861080
117.050	10876972
117.150	10893456
117.250	10909496
117.350	10925484
117.450	10942012
117.550	10958288
117.650	10974336
117.750	10990348
117.850	11006640
117.950	11022644
118.050	11038500
118.150	11054212
118.250	11069820
118.350	11085704
118.450	11101536
118.549	11116956
118.649	11132548
118.749	11148456
118.849	11164072
118.949	11179660
119.049	11195344
119.149	11211024
119.249	11225868
119.349	11241324
119.449	11256744
119.549	11271944
119.649	11286948
119.749	11302068
119.849	11317148
119.949	11332112
120.049	11347332
120.149	11362120
120.249	11377576
120.349	11392644
120.449	11407740
120.549	11422952
120.649	11437924
120.749	11452944
120.849	11467580
120.949	11482108
121.049	11497040
121.149	11511508
121.249	11526340
121.349	11541168
121.449	11555736
121.549	11570216
121.649	11585124
121.749	11599712
121.849	11614464
121.949	11629500
122.049	11644068
122.149	11658852
122.249	11673576
122.349	11688624
122.449	11702756
122.549	11717604
122.649	11731900
122.749	11746052
122.849	11760244
122.949	11774616
123.049	11789564
123.149	11803604
123.249	11817584
123.349	11832064
123.449	11846504
123.549	11860376
123.649	11874648
123.749	11888880
123.849	11902796
123.949	11917068
124.049	11931324
124.149	11945156
124.249	11959456
124.349	11973720
124.449	11987616
124.549	12001940
124.649	12015896
124.749	12029756
124.849	12043544
124.949	12057660
125.049	12071272
125.149	12085072
125.249	12099320
125.349	12113216
125.449	12127624
125.549	12142196
125.649	12156488
125.749	12170788
125.849	12184732
125.949	12199132
126.049	12213532
126.149	12227940
126.249	12242460
126.349	12256748
126.449	12271336
126.549	12285956
126.649	12300312
126.749	12314324
126.849	12328188
126.949	12342100
127.049	12355952
127.149	12370052
127.249	12383392
127.349	12397212
127.449	12410772
127.549	12424192
127.649	12437572
127.749	12451040
127.849	12464232
127.949	12477492
128.049	12490852
128.149	12504388
128.249	12517296
128.349	12530268
128.449	12543468
128.549	12556232
128.649	12569312
128.749	12582636
128.849	12595860
128.949	12609152
129.049	12622712
129.149	12636284
129.249	12649820
129.349	12663048
129.449	12676448
129.549	12690120
129.649	12703768
129.749	12717272
129.849	12730480
129.949	12743912
130.049	12757540
130.149	12771108
130.249	12784676
130.349	12798044
130.449	12811776
130.549	12825736
130.649	12839292
130.749	12852760
130.849	12865896
130.949	12879424
131.049	12893092
131.149	12906884
131.249	12920448
131.349	12934156
131.449	12948048
131.549	12961824
131.649	12975300
131.749	12989044
131.849	13002852
131.949	13016844
132.049	13030212
132.149	13044092
132.249	13057504
132.349	13071628
132.449	13085424
132.549	13099652
132.649	13113204
132.749	13126956
132.849	13140740
132.949	13154528
133.049	13168192
133.149	13181616
133.248	13195344
133.348	13209284
133.448	13222896
133.548	13236276
133.648	13249844
133.748	13263156
133.848	13276700
133.948	13289784
134.048	13303064
134.148	13316820
134.248	13330764
134.348	13344264
134.448	13357360
134.548	13370752
134.648	13384404
134.748	13397836
134.848	13410904
134.948	13424000
135.048	13437312
135.148	13450588
135.248	13464152
135.348	13477168
135.448	13490048
135.548	13503116
135.648	13516044
135.748	13528956
135.848	13542244
135.948	13554688
136.048	13567864
136.148	13580300
136.248	13593368
136.348	13605828
136.448	13618188
136.548	13631064
136.648	13643476
136.748	13656248
136.848	13668600
136.948	13680848
137.048	13693024
137.148	13705532
137.248	13717896
137.348	13730064
137.448	13742552
137.548	13754928
137.648	13767388
137.748	13780016
137.848	13792444
137.948	13805076
138.048	13817772
138.148	13829832
138.248	13842264
138.348	13855140
138.448	13867620
138.548	13879848
138.648	13892048
138.748	13904520
138.848	13916720
138.948	13929048
139.048	13941496
139.148	13953964
139.248	13965876
139.348	13978284
139.448	13990708
139.548	14003056
139.648	14015408
139.748	14027684
139.848	14040100
139.948	14052508
140.048	14064932
140.148	14077640
140.248	14089640
140.348	14102280
140.448	14114616
140.548	14127284
140.648	14140232
140.748	14152872
140.848	14166084
140.948	14178768
141.048	14191404
141.148	14204916
141.248	14217624
141.348	14230496
141.448	14243420
141.548	14256168
141.648	14269220
141.748	14281988
141.848	14295208
141.948	14307796
142.048	14320292
142.148	14333192
142.248	14346016
142.348	14358412
142.448	14371280
142.548	14383988
142.648	14396676
142.748	14409736
142.848	14422480
142.948	14435056
143.048	14447924
143.148	14460684
143.248	14473708
143.348	14486796
143.448	14500016
143.548	14512948
143.648	14525884
143.748	14539268
143.848	14552368
143.948	14565460
144.048	14578508
144.148	14591540
144.248	14604448
144.348	14617272
144.448	14630568
144.548	14643756
144.648	14656388
144.748	14669724
144.848	14682368
144.948	14695532
